"","seqnames","start","end","width","strand","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea"
"DMR_12","chr6",31832529,31834178,1649,"*",0.342687766179675,9.25256968685122,369081,114058,114084,27,42,9.72794189176043e-05,0.032,0.00141595598646735,0.316
"DMR_13","chr11",105892558,105893282,724,"*",-0.716911476073922,10.7536721411088,85478,26269,26283,15,15,0.000118897067565961,0.04,0.000594485337829804,0.136
"DMR_14","chr5",146257347,146259003,1656,"*",-0.457003334908893,10.0540733679956,355626,107335,107356,22,22,0.000118897067565961,0.04,0.00092955889187933,0.208
"DMR_15","chr12",6560689,6561547,858,"*",-0.781662101205367,9.3799452144644,93420,28452,28463,12,12,0.000172941189186852,0.056,0.00137272068917064,0.308
"DMR_16","chr11",44330903,44332756,1853,"*",-0.269906366540809,8.36709736276508,74194,22224,22254,31,46,0.000162132364862674,0.06,0.00224823545942908,0.436
"DMR_17","chr7",155249398,155250299,901,"*",-0.767163680319489,9.20596416383386,411033,127710,127721,12,14,0.000194558837835209,0.064,0.00148080893241242,0.328
"DMR_18","chr3",137483479,137484586,1107,"*",-0.750011458549273,9.00013750259127,307757,94022,94033,12,12,0.000194558837835209,0.064,0.0015888971756542,0.344
"DMR_19","chr6",33180629,33181870,1241,"*",-0.640903333963739,10.2544533434198,369683,116016,116031,16,29,0.0002486029594561,0.08,0.000810661824313369,0.192
"DMR_20","chr10",90749920,90750580,660,"*",-0.807811448369189,6.46249158695351,57209,16701,16708,8,10,0.000291838256752813,0.08,0.00651772106747949,0.72
"DMR_21","chr4",90758120,90759618,1498,"*",-0.626275281210843,10.0204044993735,327800,99312,99327,16,16,0.000259411783780278,0.084,0.000961985364851865,0.22
"DMR_22","chr6",30181529,30182518,989,"*",-0.430674042878624,9.47482894332973,368354,111774,111795,22,46,0.000270220608104456,0.084,0.00130786774322557,0.3
"DMR_23","chr7",116962950,116964012,1062,"*",-0.745316975729833,7.45316975729833,405292,126015,126024,10,10,0.00031345590540117,0.088,0.00373985321616568,0.58
"DMR_24","chr11",130029481,130030261,780,"*",0.79954602290878,6.39636818327024,90601,27853,27860,8,10,0.00031345590540117,0.088,0.00672308872963888,0.724
"DMR_25","chr11",65149417,65150416,999,"*",-0.629527234956441,8.81338128939017,78338,23906,23919,14,14,0.000335073554049526,0.096,0.00168617659457181,0.36
"DMR_26","chr12",71833017,71833838,821,"*",-0.737377208284961,7.37377208284961,103738,32564,32573,10,10,0.000367500027022061,0.096,0.00388036793237999,0.584
"DMR_27","chr10",118031632,118034031,2399,"*",-0.333221949431072,8.66377068520788,62198,18397,18422,26,26,0.000335073554049526,0.104,0.00184830895943448,0.384
"DMR_28","chr6",32811495,32812364,869,"*",-0.293234399247432,7.62409438043324,369516,115298,115323,26,51,0.00043235297296713,0.124,0.00343720613508869,0.548
"DMR_29","chr7",121943990,121946213,2223,"*",-0.347283754365382,7.98752635040379,405667,126102,126124,23,24,0.0004972059189122,0.132,0.00279948549996217,0.508
"DMR_30","chr3",167813730,167814230,500,"*",-0.763918908999047,4.58351345399428,311283,95166,95171,6,12,0.000486397094588022,0.136,0.022860663445637,0.948
"DMR_31","chr6",28984234,28984903,669,"*",-0.395239938411874,7.5095588298256,367918,110919,110937,19,21,0.000453970621615487,0.14,0.00361014732427554,0.568
"DMR_32","chr3",122283003,122283684,681,"*",-0.545109094135928,8.72174550617484,304644,93148,93163,16,16,0.000583676513505626,0.152,0.00179426483781359,0.376
"DMR_33","chr16",88716846,88717755,909,"*",0.582694021444072,8.15771630021701,174940,53761,53774,14,16,0.000594485337829804,0.16,0.00242117664861593,0.46
"DMR_34","chr3",156543471,156544291,820,"*",-0.688315485095815,6.88315485095815,310394,94873,94882,10,11,0.000670147108099052,0.16,0.00516661802695721,0.656
"DMR_35","chr19",1275121,1276280,1159,"*",0.676378085196953,8.11653702236344,207297,64007,64018,12,12,0.000583676513505626,0.164,0.002486029594561,0.472
"DMR_36","chr17",35293627,35295051,1424,"*",-0.473950060473894,8.05715102805621,184221,57168,57184,17,17,0.000529632391884735,0.168,0.0026373531350995,0.488
"DMR_37","chr22",19710566,19711327,761,"*",0.732817237280405,5.86253789824324,279647,85965,85972,8,13,0.000735000054044122,0.168,0.00940367716203509,0.78
"DMR_38","chr6",29690766,29692011,1245,"*",-0.266035910302044,6.65089775755111,368115,111121,111145,25,36,0.000605294162153983,0.172,0.00590161808100133,0.692
"DMR_39","chr7",30721797,30722643,846,"*",-0.560670890863099,7.84939247208338,394188,123037,123050,14,14,0.000735000054044122,0.176,0.00304808845941827,0.528
"DMR_40","chr5",32710208,32711431,1223,"*",-0.464506487860828,7.89661029363407,341415,102464,102480,17,21,0.000583676513505626,0.18,0.00296161786482484,0.524
"DMR_41","chr6",29521220,29521803,583,"*",-0.304080018011679,6.99384041426861,368018,110999,111021,23,35,0.0007458088783683,0.184,0.0048207356485835,0.644
"DMR_42","chr7",27224030,27225222,1192,"*",-0.349454342943207,6.98908685886413,393416,122812,122831,20,35,0.000670147108099052,0.184,0.00485316212155604,0.644
"DMR_43","chr6",72595944,72596748,804,"*",-0.554093299054434,7.75730618676207,375180,118246,118259,14,14,0.000778235351340835,0.188,0.00317779435130841,0.532
"DMR_44","chr12",22093960,22095330,1370,"*",-0.527599312982257,8.44158900771611,95934,29387,29402,16,16,0.000713382405395765,0.192,0.00215095604051147,0.42
"DMR_45","chr6",30071200,30071612,412,"*",-0.442073711226058,7.95732680206905,368265,111540,111557,18,26,0.000605294162153983,0.192,0.00286433844590724,0.512
"DMR_46","chr6",28641622,28642394,772,"*",0.558691461141945,7.26298899484529,367780,110623,110635,13,13,0.00092955889187933,0.216,0.00413977971616027,0.596
"DMR_47","chr14",59931922,59932289,367,"*",0.687179515314597,6.18461563783137,131734,40635,40643,9,10,0.000972794189176043,0.22,0.00757698585124896,0.744
"DMR_48","chr20",13200685,13201353,668,"*",-0.327499465711512,6.22248984851872,262917,81708,81726,19,26,0.000897132418906795,0.224,0.00738242701341375,0.736
"DMR_49","chr21",33783773,33785063,1290,"*",-0.515260415333459,7.72890623000189,275073,84898,84912,15,15,0.000907941243230974,0.228,0.0032318384729293,0.536
"DMR_50","chr20",21686080,21686728,648,"*",-0.553076207580759,7.18999069854987,263978,82063,82075,13,16,0.000972794189176043,0.228,0.0043235297296713,0.608
"DMR_51","chr3",45883249,45883859,610,"*",-0.629943880714482,7.55932656857378,295556,90340,90351,12,12,0.000907941243230974,0.24,0.00355610320265465,0.568
"DMR_52","chr2",160761244,160761622,378,"*",-0.670506392247684,6.03455753022916,247168,77532,77540,9,10,0.00121058832430797,0.244,0.00825794178367219,0.76
"DMR_53","chr1",47696701,47698126,1425,"*",-0.308529857284282,6.78765686025421,15283,4736,4757,22,22,0.0009944118378244,0.248,0.00549088275668256,0.676
"DMR_54","chr10",42862876,42863594,718,"*",-0.669752415438923,6.0277717389503,50246,15008,15016,9,9,0.00122139714863214,0.248,0.0083011770809689,0.76
"DMR_55","chr15",58357874,58358384,510,"*",-0.541252900067238,7.0362877008741,147887,45569,45581,13,13,0.00111330890539036,0.252,0.0047234562296659,0.644
"DMR_56","chr20",57463455,57464129,674,"*",0.274182328801317,6.30619356243029,271497,84168,84190,23,33,0.00112411772971454,0.264,0.00699330933774333,0.736
"DMR_57","chr3",48506717,48507618,901,"*",-0.639592579472886,6.39592579472886,296296,90644,90653,10,15,0.00129705891890139,0.268,0.00672308872963888,0.724
"DMR_58","chr10",17269643,17271519,1876,"*",-0.269211157919924,6.19185663215825,47185,14347,14369,23,23,0.0011457353783629,0.268,0.00753375055395225,0.744
"DMR_59","chr6",30068493,30069319,826,"*",-0.530794111639561,6.90032345131429,368263,111504,111516,13,13,0.00127544127025303,0.292,0.00513419155398467,0.656
"DMR_60","chr5",114937535,114938459,924,"*",-0.390843541854615,7.03518375338307,350381,105116,105133,18,21,0.00110250008106618,0.312,0.0047234562296659,0.644
"DMR_61","chr10",91011593,91011952,359,"*",-0.597480598534275,6.57228658387702,57269,16729,16739,11,11,0.00147000010808824,0.312,0.00617183868910579,0.7
"DMR_62","chr2",33701120,33701705,585,"*",-0.666657388388438,3.99994433033063,230541,73468,73473,6,10,0.00170779424322017,0.312,0.0352691937697937,0.976
"DMR_63","chr12",58013109,58013687,578,"*",0.372081320486749,6.69746376876148,102003,31988,32005,18,21,0.00118897067565961,0.316,0.00575029454046283,0.684
"DMR_64","chr5",126408756,126409553,797,"*",-0.580991824422255,6.97190189306706,351652,105492,105503,12,12,0.00135110304052228,0.324,0.00489639741885275,0.648
"DMR_65","chr16",55512521,55514470,1949,"*",-0.288642833585553,6.06149950529661,167318,51561,51581,21,21,0.001394338337819,0.324,0.00816066236475458,0.756
"DMR_66","chr8",146227670,146228920,1250,"*",-0.360515482995157,6.48927869391283,434228,132740,132757,18,18,0.00126463244592886,0.328,0.00644205929721024,0.716
"DMR_67","chr16",66878193,66879016,823,"*",-0.515798566469054,6.70538136409771,168949,52118,52130,13,15,0.00148080893241242,0.332,0.0057178680674903,0.68
"DMR_68","chr1",10056957,10057312,355,"*",-0.6545759068354,3.9274554410124,4038,1010,1015,6,10,0.00205367662159387,0.332,0.0372039733238216,0.976
"DMR_69","chr11",14912680,14914012,1332,"*",-0.469095121388163,7.5055219422106,70791,21172,21187,16,16,0.00131867656754975,0.336,0.00361014732427554,0.568
"DMR_70","chr2",29337946,29338636,690,"*",-0.584854370888823,6.43339807977705,229883,73284,73294,11,11,0.00161051482430256,0.344,0.00660419166207292,0.724
"DMR_71","chr15",74422282,74423453,1171,"*",-0.351703254652781,6.33065858375006,151792,46592,46609,18,18,0.0013402942161981,0.344,0.00692845639179826,0.736
"DMR_72","chr10",61121956,61123096,1140,"*",-0.472344495730415,7.08516743595623,52166,15460,15474,15,15,0.00142676481079153,0.352,0.0045721326891274,0.636
"DMR_73","chr15",45926628,45927554,926,"*",-0.377195969155912,6.41233147565051,146261,44963,44979,17,17,0.00150242658106078,0.356,0.00666904460801799,0.724
"DMR_74","chr1",55446131,55446640,509,"*",-0.635957711256581,3.81574626753948,16843,5275,5280,6,10,0.00255088254050607,0.364,0.0404898559183718,0.976
"DMR_75","chr6",151646300,151647133,833,"*",-0.562392880478428,6.18632168526271,384066,120790,120800,11,11,0.00192397072970373,0.372,0.00757698585124896,0.744
"DMR_76","chr1",159750305,159750831,526,"*",0.622972272157259,4.98377817725808,28129,9742,9749,8,8,0.00266977960807203,0.372,0.0174130159862512,0.912
"DMR_77","chr11",35439994,35441796,1802,"*",0.360502392283635,6.12854066882179,73485,22049,22065,17,21,0.00169698541889599,0.376,0.00789044175665013,0.756
"DMR_78","chr1",161008127,161008920,793,"*",0.561477376000293,6.17625113600322,28558,9885,9895,11,11,0.00196720602700044,0.38,0.00763102997286985,0.744
"DMR_79","chr5",50265407,50265907,500,"*",-0.617425565287346,4.32197895701143,343184,103060,103066,7,12,0.00292919139185231,0.38,0.0277030167428689,0.956
"DMR_80","chr10",102989254,102989598,344,"*",-0.584888412865193,5.84888412865193,59782,17629,17638,10,11,0.00211852956753894,0.388,0.00942529481068344,0.78
"DMR_81","chr18",74961342,74962369,1027,"*",-0.256881988786835,5.65140375331037,205784,63753,63774,22,31,0.00170779424322017,0.388,0.0106358831349914,0.808
"DMR_82","chr7",27282005,27282987,982,"*",-0.454449835454059,6.81674753181089,393462,122861,122875,15,29,0.00169698541889599,0.392,0.00536117686479242,0.664
"DMR_83","chr12",81471311,81472177,866,"*",-0.479585424503066,6.71419594304292,104677,32797,32810,14,16,0.00179426483781359,0.392,0.00569625041884194,0.68
"DMR_84","chr11",86382900,86383585,685,"*",-0.541432851896424,6.49719422275709,83674,25711,25722,12,18,0.00184830895943448,0.392,0.00643125047288606,0.716
"DMR_85","chr14",92790019,92790580,561,"*",-0.612269471091579,3.67361682654947,137642,42480,42485,6,8,0.00315617670266005,0.404,0.0453105915669553,0.988
"DMR_86","chr4",109087912,109088929,1017,"*",-0.535719900482199,6.42863880578639,329217,99729,99740,12,13,0.00195639720267627,0.408,0.00663661813504545,0.724
"DMR_87","chr11",31832484,31833747,1263,"*",-0.273286635259787,5.46573270519574,72696,21772,21791,20,33,0.00185911778375866,0.408,0.0122572067836181,0.844
"DMR_88","chr14",73712491,73712967,476,"*",-0.610290717134208,3.66174430280525,134663,41532,41537,6,8,0.00324264729725348,0.408,0.0457321357155982,0.988
"DMR_89","chr6",28411030,28411423,393,"*",-0.603683606517673,4.82946885214139,367704,110451,110458,8,8,0.00327507377022601,0.42,0.0194018396619,0.94
"DMR_90","chr5",92918517,92918943,426,"*",-0.603492895827265,4.82794316661812,348308,104472,104479,8,8,0.00327507377022601,0.42,0.0194450749591967,0.94
"DMR_91","chr9",98637319,98637886,567,"*",-0.593826247563214,5.34443622806893,441169,133726,133734,9,9,0.00282110314861053,0.428,0.0135326480538712,0.872
"DMR_92","chr6",152128328,152129036,708,"*",-0.427075284595027,6.83320455352043,384158,120854,120869,16,22,0.00192397072970373,0.436,0.00529632391884735,0.66
"DMR_93","chr6",106545531,106546540,1009,"*",-0.592723127082834,5.3345081437455,377874,119187,119195,9,14,0.00286433844590724,0.436,0.0136299274727888,0.876
"DMR_94","chr10",106028206,106029109,903,"*",0.465449887680724,6.51629842753014,60735,18073,18086,14,16,0.00202125014862133,0.44,0.00633397105396846,0.712
"DMR_95","chr6",29894050,29895204,1154,"*",-0.312271917877475,5.62089452179454,368177,111275,111292,18,19,0.00188073543240702,0.44,0.0110033831620135,0.824
"DMR_96","chr6",24126060,24126497,437,"*",-0.589958503859442,5.30962653473498,366680,109797,109805,9,9,0.00292919139185231,0.44,0.0138461039592723,0.88
"DMR_97","chr17",48711737,48712370,633,"*",-0.526053238592705,6.31263886311246,188793,59355,59366,12,13,0.00211852956753894,0.444,0.00699330933774333,0.736
"DMR_98","chr16",57023191,57023835,644,"*",-0.540025784733031,5.94028363206335,167713,51751,51761,11,12,0.00235632370267086,0.444,0.00884161829717782,0.772
"DMR_99","chr16",215410,216757,1347,"*",-0.437797911035688,6.56696866553532,157672,48365,48379,15,15,0.00202125014862133,0.448,0.00623669163505086,0.704
"DMR_100","chr6",74405406,74406240,834,"*",-0.437706620088499,6.56559930132749,375413,118352,118366,15,15,0.00203205897294551,0.448,0.00623669163505086,0.704
"DMR_101","chr15",91642909,91643742,833,"*",-0.435560946956461,6.53341420434691,155597,47985,47999,15,15,0.0020861030945664,0.452,0.0063123534053201,0.708
"DMR_102","chr8",70983530,70984559,1029,"*",-0.579277398665616,5.21349658799054,423064,130249,130257,9,9,0.00316698552698423,0.456,0.0147216187295308,0.888
"DMR_103","chr1",78956268,78957682,1414,"*",-0.467962484979726,6.08351230473643,19725,6062,6074,13,13,0.00241036782429175,0.46,0.00806338294583698,0.756
"DMR_104","chr6",30418508,30419201,693,"*",-0.30625868785161,5.51265638132898,368406,111942,111959,18,23,0.00209691191889058,0.46,0.0117816185133543,0.836
"DMR_105","chr12",53693054,53694132,1078,"*",-0.303416328022957,5.46149390441323,100583,30964,30981,18,18,0.00211852956753894,0.464,0.0122896332565907,0.844
"DMR_106","chr16",58548873,58549298,425,"*",0.573930974730565,5.16537877257509,168329,51975,51983,9,9,0.00335073554049526,0.468,0.0152836775943881,0.892
"DMR_107","chr2",190538584,190539822,1238,"*",-0.546814149104515,5.46814149104515,250857,78715,78724,10,10,0.00304808845941827,0.472,0.0122355891349698,0.844
"DMR_108","chr5",148205971,148206667,696,"*",0.571425538564328,5.14282984707896,355893,107414,107422,9,9,0.00341558848644033,0.472,0.01552147172952,0.896
"DMR_109","chr16",51183988,51185302,1314,"*",-0.24660435130188,4.9320870260376,166745,51448,51467,20,27,0.00234551487834668,0.472,0.0182128689862404,0.932
"DMR_110","chr19",17905332,17905966,634,"*",-0.58916867456991,4.71334939655928,213815,66900,66907,8,8,0.00386955910805582,0.472,0.0210772074321476,0.94
"DMR_111","chr15",78556720,78557094,374,"*",-0.589939695138015,4.12957786596611,152937,47059,47065,7,15,0.00392360322967671,0.472,0.0317347082157874,0.972
"DMR_112","chr2",84743263,84743935,672,"*",-0.530638911722073,5.8370280289428,237805,75495,75505,11,13,0.00259411783780278,0.48,0.00949014775662851,0.78
"DMR_113","chr7",45960806,45961537,731,"*",-0.299241742959058,5.38635137326305,396726,123614,123631,18,30,0.00221580898645654,0.48,0.0131219127295524,0.864
"DMR_114","chr2",171672694,171673870,1176,"*",-0.420165427109368,6.30248140664052,248516,77904,77918,15,15,0.0023887501756434,0.484,0.00699330933774333,0.736
"DMR_115","chr16",3507460,3508546,1086,"*",0.455807492013613,5.92549739617697,159859,49406,49418,13,13,0.00265897078374785,0.484,0.00897132418906796,0.772
"DMR_116","chr17",75314830,75315868,1038,"*",-0.527033098161984,5.79736407978183,194311,60998,61008,11,12,0.00265897078374785,0.496,0.00977117718905715,0.784
"DMR_117","chr2",53994269,53995622,1353,"*",-0.406428569187795,6.50285710700471,233545,74040,74055,16,16,0.00234551487834668,0.5,0.00637720635126517,0.716
"DMR_118","chr7",19812327,19813525,1198,"*",-0.316512353871078,5.38071001580833,392157,122283,122299,17,17,0.00245360312158846,0.5,0.0131975744998217,0.864
"DMR_119","chr10",130339134,130339927,793,"*",-0.449536143200182,5.84396986160237,64749,18959,18971,13,16,0.00286433844590724,0.508,0.00945772128365598,0.78
"DMR_120","chr17",28087898,28088749,851,"*",0.53496959612719,5.3496959612719,182829,56715,56724,10,10,0.00346963260806122,0.508,0.0134677951079261,0.872
"DMR_121","chr1",32827389,32828191,802,"*",-0.516800487644535,5.68480536408988,11217,3130,3140,11,12,0.00292919139185231,0.516,0.0104413242971562,0.792
"DMR_122","chr4",103265947,103267084,1137,"*",-0.286094856551381,5.14970741792486,328671,99529,99546,18,18,0.00257250018915443,0.516,0.0154566187835749,0.896
"DMR_123","chr2",60777023,60779652,2629,"*",-0.380692089091137,6.09107342545819,234321,74268,74283,16,16,0.00278867667563799,0.528,0.00804176529718863,0.756
"DMR_124","chr12",25054873,25056500,1627,"*",-0.234752618333672,4.46029974833977,96214,29456,29474,19,19,0.00286433844590724,0.544,0.024979193013176,0.952
"DMR_125","chr2",30669385,30669952,567,"*",-0.565387364468354,3.95771155127848,230101,73328,73334,7,12,0.00498286801344618,0.544,0.036382502675184,0.976
"DMR_126","chr4",156588012,156588740,728,"*",-0.487906023340884,5.85487228009061,333648,101009,101020,12,12,0.00303727963509409,0.552,0.00942529481068344,0.78
"DMR_127","chr22",45608345,45608713,368,"*",-0.521348498235783,5.21348498235783,286813,88049,88058,10,10,0.0038263238107591,0.564,0.0147216187295308,0.888
"DMR_128","chr6",31650735,31651411,676,"*",0.304118721492975,5.17001826538058,368950,113563,113579,17,18,0.00295080904050066,0.564,0.0152296334727672,0.892
"DMR_129","chr6",48036280,48036676,396,"*",-0.515852097921886,5.15852097921886,373515,117943,117952,10,11,0.00406411794589103,0.564,0.0153809570133057,0.892
"DMR_130","chr2",31360693,31361820,1127,"*",-0.400469937257132,6.00704905885697,230198,73340,73354,15,15,0.00287514727023142,0.568,0.00842007414853486,0.76
"DMR_131","chr15",78913147,78913820,673,"*",-0.515656547326815,5.15656547326815,153046,47130,47139,10,14,0.00408573559453938,0.568,0.015402574661954,0.896
"DMR_132","chr7",28997403,28998595,1192,"*",-0.396686462603174,5.95029693904762,393788,122917,122931,15,19,0.00295080904050066,0.572,0.00878757417555692,0.768
"DMR_133","chr11",111807298,111808394,1096,"*",-0.49879315122329,5.48672466345619,86243,26643,26653,11,11,0.00350205908103376,0.572,0.0121058832430796,0.84
"DMR_134","chr6",73331114,73331680,566,"*",-0.497429973908122,5.47172971298934,375237,118260,118270,11,12,0.00354529437833047,0.572,0.0122247803106456,0.844
"DMR_135","chr6",36354960,36356244,1284,"*",-0.393213565873049,5.89820348809574,370727,117098,117112,15,15,0.0030805149323908,0.576,0.0091983094998757,0.78
"DMR_136","chr6",32134964,32135396,432,"*",0.264782188224736,4.76607938804525,369268,114988,115005,18,39,0.00325345612157766,0.58,0.0203313985537793,0.94
"DMR_137","chr13",100635730,100637258,1528,"*",-0.386285270128883,5.79427905193325,123697,37953,37967,15,15,0.00318860317563259,0.584,0.00978198601338133,0.784
"DMR_138","chr14",102026230,102027172,942,"*",-0.356634499002851,5.70615198404561,140200,43152,43167,16,18,0.00342639731076451,0.584,0.0103548537025628,0.792
"DMR_139","chr19",36347276,36348034,758,"*",-0.467413199750083,5.60895839700099,216620,67924,67935,12,12,0.0036317649729239,0.592,0.0110574272836344,0.828
"DMR_140","chr1",231155632,231156359,727,"*",-0.487242260624742,5.35966486687216,40508,13099,13109,11,12,0.0039776473512976,0.592,0.013338089216036,0.868
"DMR_141","chr1",47690795,47691601,806,"*",-0.528211416449804,4.75390274804824,15277,4726,4734,9,10,0.00512338272966049,0.596,0.0204502956213453,0.94
"DMR_142","chr19",52531438,52532150,712,"*",-0.481455778296191,5.2960135612581,222087,70755,70765,11,12,0.00428029443237459,0.604,0.0139650010268383,0.88
"DMR_143","chr18",59560191,59560495,304,"*",-0.543707919810323,3.80595543867226,204034,63527,63533,7,8,0.00625830928369921,0.604,0.0408357382967455,0.976
"DMR_144","chr3",43020564,43021399,835,"*",-0.477098697720962,5.24808567493058,294952,90094,90104,11,15,0.00439919149994055,0.608,0.014429780472778,0.88
"DMR_145","chr1",21616619,21617100,481,"*",0.525260502146303,4.72734451931673,7518,1826,1834,9,9,0.00523147097290228,0.608,0.0208177956483673,0.94
"DMR_146","chr17",6659070,6659562,492,"*",-0.539821311731738,3.77874918212217,178438,54907,54913,7,11,0.00639882399991353,0.608,0.041657208945383,0.976
"DMR_147","chr16",10276069,10277505,1436,"*",-0.293302624245758,4.98614461217788,161120,49677,49693,17,19,0.00333992671617108,0.612,0.0173913983376028,0.912
"DMR_148","chr15",98503376,98503952,576,"*",-0.420235845758405,5.46306599485926,156563,48161,48173,13,14,0.0040749267702152,0.616,0.0122680156079423,0.844
"DMR_149","chr12",106976448,106977074,626,"*",-0.417916046369196,5.43290860279955,107842,33720,33732,13,15,0.00416139736480863,0.616,0.012613897986316,0.848
"DMR_150","chr7",83824255,83824617,362,"*",-0.529842064931954,4.23873651945563,400721,124298,124305,8,8,0.00657176518910038,0.616,0.0292162521482538,0.96
"DMR_151","chr12",49318487,49319558,1071,"*",0.342960980056894,5.4873756809103,99047,30230,30245,16,20,0.00378308851346239,0.62,0.0121058832430796,0.84
"DMR_152","chr7",155166205,155167511,1306,"*",-0.501735230698249,5.01735230698249,411001,127689,127698,10,10,0.00473426505399008,0.62,0.0170347071349049,0.908
"DMR_153","chr1",76080410,76081408,998,"*",-0.520072388422114,4.68065149579903,19370,5947,5955,9,9,0.00555573570262763,0.624,0.0215960309997082,0.94
"DMR_154","chr20",42544648,42545022,374,"*",-0.51601471002393,4.64413239021537,267673,83189,83197,9,9,0.0057178680674903,0.624,0.0220391927969995,0.94
"DMR_155","chr6",167275395,167276650,1255,"*",-0.340679698136635,5.45087517018617,386779,121230,121245,16,16,0.00385875028373164,0.628,0.0124193391484808,0.848
"DMR_156","chr12",131303194,131303993,799,"*",0.531482014987277,3.72037410491094,113787,35522,35528,7,9,0.00695007404044662,0.628,0.0436136061480593,0.984
"DMR_157","chr15",64995133,64995934,801,"*",-0.470198999650123,5.17218899615135,149281,45924,45934,11,14,0.00471264740534172,0.632,0.0151863981754705,0.892
"DMR_158","chr15",74421271,74421935,664,"*",-0.284623846699211,4.83860539388659,151791,46575,46591,17,17,0.00368580909454479,0.636,0.0193153690673065,0.94
"DMR_159","chr11",368351,368966,615,"*",-0.243091897851919,4.37565416133455,66591,19381,19398,18,22,0.00395602970264924,0.636,0.0266113254861269,0.956
"DMR_160","chr5",59064235,59064682,447,"*",-0.466870634824512,5.13557698306963,344415,103326,103336,11,11,0.0048747797702044,0.64,0.0155755158511409,0.896
"DMR_161","chr6",31649082,31649874,792,"*",-0.284207215202349,4.83152265843993,368949,113546,113562,17,35,0.00370742674319314,0.64,0.0194018396619,0.94
"DMR_162","chr1",145437802,145439281,1479,"*",-0.280837193682062,4.77423229259505,25004,8058,8074,17,19,0.00389117675670417,0.64,0.0202341191348617,0.94
"DMR_163","chr10",102976327,102977648,1321,"*",-0.411815418230664,5.35360043699863,59767,17616,17628,13,13,0.00450727974318233,0.644,0.0134353686349536,0.872
"DMR_164","chr5",134181226,134182149,923,"*",-0.403193679986193,5.64471151980671,352876,106042,106055,14,14,0.00378308851346239,0.648,0.0106791184322881,0.808
"DMR_165","chr12",133065724,133066069,345,"*",-0.360017394999548,5.40026092499322,114593,35676,35690,15,15,0.00390198558102835,0.648,0.013035442134959,0.86
"DMR_166","chr4",55093038,55094580,1542,"*",-0.410426819928565,5.33554865907134,324220,98347,98359,13,14,0.00459375033777576,0.648,0.0136299274727888,0.876
"DMR_167","chr19",4831543,4832024,481,"*",-0.49641405539777,4.9641405539777,209326,64666,64675,10,10,0.00499367683777036,0.648,0.0177480895403007,0.916
"DMR_168","chr13",33589786,33590495,709,"*",-0.494309689601485,4.94309689601485,117469,36518,36527,10,11,0.00514500037830885,0.648,0.0180399277970535,0.932
"DMR_169","chr11",110583549,110584091,542,"*",-0.463891549343393,5.10280704277732,85992,26505,26515,11,12,0.00501529448641871,0.652,0.0159754423511355,0.896
"DMR_170","chr4",187646055,187647402,1347,"*",-0.462338017553716,5.08571819309087,336758,101878,101888,11,13,0.0050693386080396,0.656,0.0161483835403223,0.9
"DMR_171","chr14",67878535,67879166,631,"*",-0.461048961933905,5.07153858127295,133200,41151,41161,11,13,0.00512338272966049,0.656,0.0162780894322125,0.9
"DMR_172","chr7",27142535,27143806,1271,"*",-0.27725650545676,4.71336059276492,393333,122587,122603,17,24,0.00404250029724267,0.656,0.0210772074321476,0.94
