"","chr","start","end","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea"
"Block_87",4,44631446,45459426.5,-0.0459880319695634,0.735808511513015,46,208425,208440,16,35,0.00022585045143415,0.124,0.387305070609387,1
"Block_88",3,80239372,80494344,-0.0562450596847136,0.337470358108282,33,192814,192819,6,93,0.000138711300880817,0.124,0.603218102180435,1
"Block_89",6,64442059,64621114,0.0460675834244779,0.691013751367169,64,244652,244666,15,220,0.000247190651569661,0.134,0.405095684122358,1
"Block_90",14,46874779,47389300,-0.0479767481916482,0.671674474683075,161,86452,86465,14,43,0.000199175201264763,0.136,0.413098259173174,1
"Block_91",6,153825208,155721059,0.0305240898164998,7.63102245412496,71,251759,252008,250,6164,0.000529948303365172,0.14,0.0138337847378445,0.676
"Block_92",14,32724452,34447787,0.0363987833184416,5.75100776431377,159,85645,85802,158,1956,0.000396572052518233,0.14,0.0253983948612798,0.806
"Block_93",16,28943089,29361483,0.0372815815159798,2.16233172792683,177,109198,109255,58,1356,0.000622422503952383,0.142,0.129615040573056,1
"Block_94",11,102147694,103325598,0.0360543887658033,5.66053903623112,143,55949,56105,157,4825,0.000433917402755376,0.144,0.0261613070161243,0.814
"Block_95",12,48044905,48701267,0.036224256849708,4.92649893156029,147,65697,65832,136,2743,0.000480154503048981,0.144,0.0345497840193911,0.892
"Block_96",9,92046129,93932156,0.0330817790729653,7.31107317512534,118,288999,289219,221,2525,0.000439252452789253,0.146,0.0152386812467656,0.696
"Block_97",3,15457448.5,18708215,0.0270335312554409,11.0567142834753,30,185864,186272,409,3632,0.000512164803252246,0.15,0.00559291078551498,0.45
"Block_98",2,8080852,9727947,0.0274276325977952,9.98365826559746,17,141664,142027,364,10302,0.000561958603568437,0.15,0.00722543609588152,0.506
"Block_99",6,52591577,56905023,0.0239446763697299,12.5948997704779,63,243996,244521,526,4916,0.000780695654957417,0.152,0.00391592672486614,0.364
"Block_100",11,130870367,133989435,-0.0273380738506785,9.86904466009492,143,60037,60397,361,4825,0.00059930395380558,0.156,0.00743350304720274,0.51
"Block_101",3,37271352,38356062,0.0351097611481747,5.61756178370795,31,187754,187913,160,4234,0.000522834903320002,0.158,0.0265703275187216,0.824
"Block_102",10,30619783,31484004,0.0353945092164553,5.27378187325183,124,32513,32661,149,2232,0.000529948303365172,0.158,0.0302017182417809,0.858
"Block_103",2,24844850,26461765,0.0288519566202396,8.2228076367683,17,143869,144153,285,10302,0.000622422503952383,0.16,0.0115219297231643,0.644
"Block_104",7,32953146,34970641,0.0333755894850857,7.008873791868,73,257877,258086,210,6281,0.000508608103229661,0.162,0.0166987066060368,0.71
"Block_105",8,140613442,141365894,0.0334475713509462,6.95709484099682,98,283981,284188,208,4575,0.000512164803252246,0.162,0.0169956910579226,0.71
"Block_106",8,129746588,130898833,0.0345161887736373,5.66065495887652,98,282792,282955,164,4575,0.000595747253782995,0.166,0.0261524152660678,0.814
"Block_107",5,94739427,96632999.5,0.0280469093624167,8.77868263043642,60,226843,227155,313,2699,0.000656211154166941,0.168,0.00994986831318166,0.598
"Block_108",18,54126474,54777662,0.0362013658778006,2.75130380671284,192,131907,131982,76,2350,0.000716675054550887,0.168,0.092467087187166,1
"Block_109",4,143160459,144230372,0.0361298269027643,2.74586684461009,50,214790,214865,76,2301,0.000723788454596057,0.168,0.0927622932890406,1
"Block_110",6,37457902,41855296,0.0218264859089295,14.1653893548953,63,242097,242745,649,4916,0.000892731705668846,0.17,0.00292894246859878,0.298
"Block_111",7,11034330,14415317,0.0295797075688301,7.27660806193221,73,255529,255774,246,6281,0.000698891554437961,0.17,0.0153898409977255,0.696
"Block_112",13,80315399,81258755,0.0362703628238604,2.46638467202251,155,81375,81442,68,943,0.000748685354754152,0.174,0.108255278587421,1
"Block_113",3,173001443,176095343,0.0347366271503836,5.10628419110639,41,200994,201140,147,4229,0.000650876104133063,0.176,0.0321383414040785,0.874
"Block_114",13,61698296,67434423,-0.0346540912537888,5.09415141430696,154,80426,80572,147,394,0.000665102904223403,0.176,0.0323108413551738,0.874
"Block_115",17,62992003.5,64987875,0.0272755791222772,8.91911437298464,186,124586,124912,327,5635,0.000759355454821907,0.178,0.00956218801071989,0.586
"Block_116",2,85466219,86831018.6666667,0.0279669366750107,8.44601487585322,17,150659,150960,302,10302,0.000745128654731567,0.178,0.0108835020691102,0.624
"Block_117",2,77181128,85097644,-0.027962767432277,8.44475576454765,17,150308,150609,302,10302,0.000752242054776737,0.178,0.0108888371191441,0.624
"Block_118",3,187310248,189565453,0.0257064133271475,10.3853909841676,41,202571,202974,404,4229,0.000812705955160683,0.18,0.00660834864196301,0.498
"Block_119",3,170410487,171611806.666667,0.0329103639243334,6.87826606018567,41,200554,200762,209,4229,0.000601082303816873,0.18,0.0173602528102376,0.716
"Block_120",14,47509965,48613475,-0.04018021584756,1.004505396189,161,86469,86493,25,43,0.000505051403207076,0.18,0.301634837165381,1
"Block_121",2,230989640.666667,232315405,0.028676034561939,7.54179708978996,29,164268,164530,263,6382,0.00080381420510422,0.184,0.0142588103905434,0.686
"Block_122",6,36172020,37307882,0.0285505029352125,7.5087822719609,63,241810,242072,263,4916,0.000855386355431703,0.184,0.0143939649914017,0.686
"Block_123",16,81536171,82675170,0.0295494183350628,7.21005807375533,182,113844,114087,244,6187,0.000730901854641227,0.184,0.015715279049792,0.698
"Block_124",8,28434005,30022351,0.0279034323015171,7.89667134132934,91,273224,273506,283,3627,0.000883839955612384,0.188,0.0127223159807867,0.66
"Block_125",6,15654645,16822421,0.0320160894415819,6.85144314049852,62,238788,239001,214,3405,0.000638427654054016,0.188,0.0175167476112313,0.718
"Block_126",12,43802070,45275391,0.035076632756389,3.12182031531862,147,65297,65385,89,2743,0.000866056455499458,0.192,0.0762254165340314,0.994
"Block_127",12,25978455,27627451,0.0281584817626495,7.40568070357681,144,63959,64221,263,4288,0.000963865706120547,0.196,0.0148065421940215,0.686
"Block_128",3,50084357,50923231,0.0335128214278428,5.22800014274348,31,189617,189772,156,4234,0.000826932755251023,0.198,0.0306534191446492,0.86
"Block_129",9,27496466,28296540,0.0387012024162553,1.31584088215268,105,286585,286618,34,153,0.000657989504178233,0.2,0.233163026680585,1
"Block_130",18,27359367,27472783,0.0602193203271443,0.120438640654289,189,129972,129973,2,12,0.000222293751411565,0.2,0.814864872074392,1
"Block_131",5,66414150,67139343,0.0348982879828706,2.89655790257826,57,224366,224448,83,535,0.000954973956064085,0.202,0.0856382231438027,1
"Block_132",11,119798798,120816085,0.0299363162968725,6.82548011568693,143,58248,58475,228,4825,0.000791365755025173,0.204,0.017691025912338,0.72
"Block_133",8,120366470,122118171,0.0329430907506884,6.2591872426308,98,281187,281376,190,4575,0.000706004954483132,0.204,0.021265509435036,0.762
"Block_134",6,103970042,106643221,0.0291402932858033,7.05195097516439,70,246682,246923,242,1335,0.000819819355205853,0.206,0.0164781912046365,0.71
"Block_135",15,71194614.5,72041924,0.0328861821142458,5.06447204559385,173,101043,101196,154,7146,0.000976314156199595,0.22,0.0326789598075114,0.874
"Block_136",9,22416595,25261450,-0.0356295088670627,1.99525249655551,104,286437,286492,56,750,0.000974535806188302,0.22,0.144225964265835,1
"Block_137",1,171723758,176660924,0.0223987445344865,12.2073157712951,14,19090,19634,545,5433,0.00116304090738531,0.222,0.00426270497706818,0.372
"Block_138",5,67595709,67979704.5,0.0360718267973999,1.8757349934648,57,224502,224553,52,535,0.000983427556244765,0.222,0.155877713539823,1
"Block_139",14,36302197,38876825,-0.0308171817755943,6.59487689997718,159,85994,86207,214,1956,0.000809149255138098,0.226,0.0190105616207171,0.744
"Block_140",16,34337336,35136231.3333333,-0.0361990631007136,1.84615221813639,181,109551,109601,51,51,0.000985205906256057,0.226,0.159036063159879,1
"Block_141",15,29093940.5,29432210.5,0.0349647278318179,2.16781312557271,170,95443,95504,62,156,0.00110257700700136,0.228,0.129218468520537,1
"Block_142",2,219935695,221393426,0.0326567691050618,5.45368044054531,29,163179,163345,167,6382,0.000917628605826942,0.234,0.0282597600294495,0.85
"Block_143",8,127147547,128931369.5,0.0254569474602635,8.27350792458563,98,282292,282616,325,4575,0.00141734495900014,0.238,0.011356543172114,0.638
"Block_144",18,60565745,61823394,0.0275666611777487,6.83653197208168,192,132723,132970,248,2350,0.00132487075841293,0.24,0.017605665111796,0.72
"Block_145",4,62076499,68064683,-0.0322910801816612,4.94053526779417,49,209328,209480,153,4804,0.00112925225717075,0.25,0.0343523871681377,0.89
"Block_146",5,168974734,171393566,0.0244524383018422,8.55835340564478,61,234314,234663,350,8919,0.00165030881047946,0.266,0.0105687341171115,0.616
"Block_147",18,46886163,48533525,0.0314376847687816,5.78453399745581,192,131378,131561,184,2350,0.00103144300654966,0.266,0.0250960753593601,0.804
"Block_148",5,101626029,109295542,0.0224652267229795,10.7159131468612,61,227353,227829,477,8919,0.00153471605974545,0.272,0.00607840033859784,0.486
"Block_149",3,149388151,150755800,0.0298452707363748,6.08843523022046,40,198739,198942,204,6216,0.00117015430743048,0.272,0.0226117203935844,0.778
"Block_150",8,66635187,67650626,0.031876132219895,4.97267662630362,93,276612,276767,156,2266,0.00120749965766762,0.274,0.0339522584155968,0.888
"Block_151",9,20271083,22244720,0.0311650892355595,5.32923025928067,104,286263,286433,171,750,0.00120749965766762,0.28,0.0295935225379189,0.858
"Block_152",9,123384421,124396830,0.0315764264501371,5.0206518055718,122,292071,292229,159,4720,0.00124484500790477,0.282,0.0332747070612944,0.876
"Block_153",2,110856683,110979750,0.0412387128407715,0.618580692611572,24,153028,153042,15,15,0.000691778154392791,0.282,0.436439103071388,1
"Block_154",9,129515422,130873030,0.0262051216111963,6.73471625407744,122,293073,293329,257,4720,0.00181391701151837,0.288,0.0181942989655338,0.732
"Block_155",2,100135437,100926756.5,0.0319127249632671,4.14865424522472,23,151696,151825,130,1900,0.00144757690919211,0.288,0.047528182401804,0.956
"Block_156",2,200485694,201993988.25,0.0283333114609944,6.17666189849678,29,160800,161017,218,6382,0.00143868515913565,0.294,0.0219092721391239,0.77
"Block_157",18,42038732,42801722,0.0329105980500428,2.63284784400342,192,130781,130860,80,2350,0.00156316965992613,0.294,0.0985365957757074,1
"Block_158",13,109610185.5,110780558,0.0304518015012857,5.42042066722886,156,83440,83617,178,2712,0.00131064395832259,0.298,0.0286296568317983,0.852
"Block_159",3,52580707,53168950,0.031578174198516,4.23147534260115,31,190014,190147,134,4234,0.00152404595967769,0.298,0.0457996261908276,0.954
"Block_160",7,105283963.75,106934711,0.0269136762897924,6.54002333841955,83,264260,264502,243,1389,0.00166631396058109,0.304,0.0193075460726029,0.746
"Block_161",9,75368280,75733971,0.0362267803760487,1.485297995418,117,287848,287888,41,516,0.00112569555714817,0.306,0.204814349150571,1
"Block_162",10,90004011,92656023,0.0237845022616444,8.27700678705225,135,38352,38699,348,6782,0.00207711281318967,0.308,0.0113352029719785,0.638
"Block_163",11,19541532,20087788.6666667,0.031591355323412,3.44345773025191,136,47467,47575,109,3353,0.00179613351140545,0.312,0.0652120949140968,0.986
"Block_164",15,41959755,43912008.5,0.0235923701743723,8.06859059963531,173,96941,97282,342,7146,0.00230118491461252,0.316,0.0120785532766988,0.658
"Block_165",1,218302134,220142138,0.028458988161315,5.97638751387615,16,24602,24811,210,5445,0.00158450986006164,0.316,0.0234937819991855,0.79
"Block_166",2,109393157,110484609,0.0286499370013798,5.87323708528286,23,152823,153027,205,1900,0.00158806656008422,0.316,0.024359838454685,0.8
"Block_167",4,48027025,48385010,0.0336029339769579,1.88176430270964,47,208555,208610,56,257,0.00165030881047946,0.316,0.155303306486176,1
"Block_168",17,17280170.5,18157375.3333333,0.0266215029578042,6.20281018916837,183,118486,118718,233,3381,0.00197219016252341,0.328,0.0217189886879156,0.768
"Block_169",4,95868848,97598786,-0.0317551445764825,2.79445272273046,49,211791,211878,88,4804,0.00198286026259116,0.328,0.0904842269245748,1
"Block_170",10,131631766.25,133786928.666667,-0.0241046243832686,7.2795965637471,135,43841,44142,302,6782,0.00254659721617089,0.332,0.0153738358476239,0.696
"Block_171",7,107658005,108254171,0.0313830629360962,3.01277404186523,83,264584,264679,96,1389,0.00205577261305416,0.332,0.0806161627119126,1
"Block_172",10,33808507,34544195,0.0314082301806672,2.98378186716339,124,32970,33064,95,2232,0.00205399426304286,0.332,0.0818129922695125,1
"Block_173",9,38046680,38577921,0.0328877374290364,2.10481519545833,106,287360,287423,64,792,0.00182992216162001,0.334,0.134466379403861,1
"Block_174",3,105716118,106967555.666667,0.0317478560778827,2.69856776662003,40,193962,194046,85,6216,0.00200953551276055,0.336,0.0951719575543419,1
"Block_175",9,116516816,117053486,0.0311691552393363,3.49094538680567,122,291472,291583,112,4720,0.00193128811226368,0.338,0.0637413994547579,0.986
"Block_176",2,159702723,160879310,0.0303348620675553,4.55022931013329,27,157115,157264,150,4586,0.00174633971108926,0.342,0.0402049370553013,0.932
"Block_177",6,111982849,112853328,0.0295954660861822,5.09042016682334,70,247638,247809,172,1335,0.00168409746069402,0.346,0.0323517434054336,0.874
"Block_178",1,221203700,222544582,0.0297373826094684,4.96614289578123,16,24926,25092,167,5445,0.00169654591077307,0.348,0.0340305058160937,0.888
"Block_179",2,12217209,13162461.6666667,0.0307059312272927,3.83824140341159,17,142607,142731,125,10302,0.00194729326236531,0.348,0.0545117628961497,0.98
"Block_180",13,24351673,25372201,0.0299508667028751,4.64238433894564,152,76681,76835,155,4049,0.00182103041156354,0.352,0.0386471024454091,0.918
"Block_181",1,159259751,162191309,0.0199424566645164,9.85157359227111,14,17500,17993,494,5433,0.00285603011813579,0.356,0.00745839994736084,0.51
"Block_182",2,15171906,19456333,0.0206172862217578,9.54580352067388,17,142792,143254,463,10302,0.00285069506810191,0.356,0.0080861575013471,0.544
"Block_183",13,42453261,43234490,0.0311067414496181,2.86182021336486,152,78721,78812,92,4049,0.00223894266421729,0.358,0.0872440732039999,1
"Block_184",4,56830888,57215479,0.035119057495234,1.40476229980936,48,209112,209151,40,609,0.00146536040930504,0.358,0.217719835182521,1
"Block_185",7,110058831,111544122,0.0307260174071943,3.2569578451626,83,264713,264818,106,1389,0.00226206121436409,0.36,0.0713705210032028,0.99
"Block_186",10,95715050,98474121,0.0222768508142525,8.91074032570101,135,39086,39485,400,6782,0.00253414876609184,0.368,0.00958174986084411,0.588
"Block_187",6,11711971,12579152,0.0283111377324602,5.37911616916744,62,238023,238212,190,3405,0.00206288601309933,0.376,0.0290813577346666,0.854
"Block_188",12,66765795,67491116,0.0319569088157058,2.07719907302088,149,68183,68247,65,1016,0.00227095296442055,0.38,0.136742667418316,1
"Block_189",1,192408716,193351057,0.0300812423717198,3.85039902358014,14,21169,21296,128,5433,0.00224427771425116,0.384,0.054252123794501,0.978
"Block_190",5,31316245,31861009,0.0305684722253934,3.14855263921552,54,221173,221275,103,2991,0.00239543746521103,0.386,0.0752402106277753,0.994
"Block_191",18,72187469,73107224,0.0292679240718348,4.44872445891888,193,133534,133685,152,1182,0.00219448391393497,0.388,0.0419334932662777,0.936
"Block_192",1,201930256,202531720,0.0299305124572295,3.89096661943984,15,22175,22304,130,1780,0.00229940656460123,0.388,0.053322046738595,0.978
